ra,dec,z,class,zWarning
175.15216,24.445445,0.1559138,GALAXY,0
175.16177,24.368754,0.04960338,GALAXY,0
174.97658,24.585263,0.09208117,GALAXY,0
174.95996,24.424561,0.1837116,GALAXY,0
175.00525,24.004776,0.08922549,GALAXY,0
174.74525,23.869269,0.1368255,GALAXY,0
174.80841,24.126598,0.2772183,GALAXY,0
174.91742,23.968746,0.1318161,GALAXY,0
174.83335,24.006787,0.3722973,GALAXY,0
174.78804,24.465939,0.1304699,GALAXY,0
174.90837,24.091548,0.136277,GALAXY,0
174.91962,24.024294,0.1645039,GALAXY,0
174.94382,23.975192,0.08820263,GALAXY,0
174.9366,24.005877,0.1314259,GALAXY,0
174.85525,24.033964,0.1364382,GALAXY,0
174.87185,23.890424,0.07144193,GALAXY,0
174.91693,24.401658,0.1840295,GALAXY,0
174.86617,24.396426,0.17622,GALAXY,0
174.90812,23.9832,0.1380839,GALAXY,0
174.86748,24.096664,1.091964,QSO,5
174.80222,24.271847,1.137466,QSO,0
174.74981,23.972196,0.1316721,GALAXY,0
174.79625,24.345997,-3.684129E-05,STAR,0
174.79179,24.564148,-3.249194E-05,STAR,0
174.85947,24.289806,0.1386554,GALAXY,0
174.6586,24.336751,0.1410804,GALAXY,0
174.59197,24.207881,0.1840874,GALAXY,0
174.69892,24.108763,0.1221427,GALAXY,0
174.63708,23.94218,0.04950659,GALAXY,0
174.65648,24.374044,0.0001001213,STAR,0
174.66034,24.528962,-0.0002489782,STAR,0
174.6604,24.607129,0.1351417,GALAXY,0
174.70767,24.483387,0.1769314,GALAXY,0
174.71191,24.047768,0.1364149,GALAXY,0
174.68174,24.081892,0.1763705,GALAXY,0
174.59845,24.515357,1.650351,QSO,0
174.70356,24.664187,0.9636723,QSO,0
174.65118,24.634432,0.2017493,GALAXY,0
174.62793,24.165795,0.1835792,GALAXY,0
174.66481,24.172895,0.1366803,GALAXY,0
174.65678,24.552759,0.1397242,GALAXY,0
174.71001,24.365785,0.6855166,QSO,5
174.74116,24.323279,8.560537E-05,STAR,0
174.66953,24.584901,0.02290339,GALAXY,0
174.72849,24.064476,0.1681384,GALAXY,0
174.72373,23.585466,0.1781526,GALAXY,0
174.83888,23.721428,0.034522,GALAXY,0
174.80952,23.346899,0.1376803,GALAXY,0
174.85042,23.810345,0.0718802,GALAXY,0
174.80859,23.796,0.03436776,GALAXY,0
174.8429,23.683209,-0.002900504,STAR,5
174.74554,23.590242,0.1088286,GALAXY,0
174.73479,23.373608,0.05029264,GALAXY,0
174.81711,23.658818,0.03419971,GALAXY,0
174.89835,23.258386,0.06871175,GALAXY,0
174.90085,23.791531,0.1091077,GALAXY,0
174.89383,23.592595,0.03499751,GALAXY,0
174.86345,23.783094,0.03460302,GALAXY,0
174.75608,23.83045,0.08936276,GALAXY,0
174.9412,23.257401,0.08987428,GALAXY,0
174.90139,23.812364,0.08996449,GALAXY,0
174.934,23.745298,1.471902,QSO,0
174.75153,23.66157,0.1973213,QSO,0
174.88396,23.838306,0.01199112,GALAXY,0
174.92081,23.485263,0.1850854,GALAXY,0
174.54819,24.056195,0.1559843,GALAXY,0
174.26504,24.351531,0.1540867,GALAXY,0
174.24161,24.318373,0.1537136,GALAXY,0
174.40184,24.534876,0.2987377,GALAXY,0
174.37855,24.245324,0.004036798,STAR,13
174.43514,24.013472,0.1273727,GALAXY,0
174.46949,23.98072,0.1380794,GALAXY,0
174.40116,24.085871,0.1960153,GALAXY,0
174.30784,24.097548,0.1361618,GALAXY,0
174.39156,24.446001,1.960113,QSO,0
174.35852,24.678268,0.1348156,GALAXY,0
174.51071,24.213881,0.06699452,GALAXY,0
