ra,dec,z,class,zWarning
174.41564,18.5795,-7.937282E-4,STAR,5
174.20422,18.434406,0.107526,GALAXY,0
174.062,18.49487,0.125675,GALAXY,0
174.0821,18.391653,0.114919,GALAXY,0
174.5843,18.817503,3.713974E-5,STAR,0
174.73061,18.749663,0.111767,GALAXY,0
174.06685,18.238552,0.115109,GALAXY,0
174.1422,18.668549,-5.376575E-4,STAR,0
174.55584,18.568454,0.071702,GALAXY,0
174.71746,18.75924,0.181353,GALAXY,0
174.4739,18.678535,0.994852,QSO,0
174.38902,18.671033,6.193062E-5,STAR,0
174.35949,18.658791,0.40908,QSO,0
174.13925,18.394228,0.163334,GALAXY,0
174.80529,18.838094,0.095041,GALAXY,0
174.35343,18.822159,0.193229,GALAXY,0
174.70717,18.794123,0.334459,GALAXY,0
174.08286,18.337855,0.071688,GALAXY,0
174.68333,18.785785,0.181401,GALAXY,0
174.73033,18.787345,0.322381,GALAXY,0
174.77322,18.883378,0.397032,GALAXY,0
174.79614,18.978697,0.705471,GALAXY,4
174.77535,19.266693,-1.912743E-4,STAR,4
174.83418,19.118593,1.94993E-4,STAR,0
174.88243,19.290254,0.011447,GALAXY,0
174.92614,19.21373,0.099397,GALAXY,0
174.76734,19.063317,0.181495,GALAXY,0
174.74878,19.002287,2.314347E-4,STAR,0
174.97838,19.286007,0.071659,GALAXY,0
174.76359,19.338912,-2.35326E-3,STAR,5
175.02265,19.585152,0.261902,GALAXY,0
174.82174,19.441961,0.15284,GALAXY,0
174.88389,19.396922,0.156542,GALAXY,0
174.78684,19.583295,5.781066E-3,GALAXY,0
174.74443,19.564113,0.09049,GALAXY,0
174.85193,19.534723,0.022559,GALAXY,0
174.76753,19.551569,0.312817,GALAXY,0
174.82654,19.372948,0.110778,GALAXY,0
174.71719,19.536902,5.624216E-5,STAR,0
174.81736,19.588482,0.994558,QSO,0
173.85101,18.255813,0.064162,GALAXY,0
173.88785,18.39801,0.156766,GALAXY,0
173.90589,18.420262,0.158241,GALAXY,0
174.00545,18.44414,0.157692,GALAXY,0
173.82689,18.493938,0.986186,GALAXY,5
173.972,18.360387,0.160123,GALAXY,0
173.83617,18.287425,0.155662,GALAXY,0
173.98488,18.426442,0.220628,QSO,0
173.88585,18.476629,0.094491,GALAXY,0
173.78047,18.150495,0.064203,GALAXY,0
174.03311,18.378152,0.123813,GALAXY,0
174.05602,18.477526,2.155846,QSO,0
173.95247,18.785862,0.127157,GALAXY,0
173.98652,18.518377,0.156514,GALAXY,0
173.86353,18.292542,0.153912,GALAXY,0
173.92196,18.575546,0.135116,GALAXY,0
173.89806,18.838334,2.026119,QSO,0
173.84896,18.649376,0.087169,GALAXY,0
173.99382,18.609424,0.358912,GALAXY,0
173.97068,18.593199,0.094976,GALAXY,0
174.58189,18.939402,0.126425,GALAXY,0
174.62647,18.997822,0.189267,GALAXY,0
174.52165,18.89591,0.188856,GALAXY,0
174.54841,19.199694,4.037014E-3,STAR,5
174.62489,19.197297,0.384816,GALAXY,0
174.46429,18.867743,0.324562,QSO,0
174.35066,19.220893,0.02976,GALAXY,0
174.32571,18.874133,0.107824,GALAXY,0
174.59105,18.989058,0.126586,GALAXY,0
174.54312,19.585151,0.127823,GALAXY,0
174.60254,19.563291,-3.128249E-4,STAR,0
174.68869,19.331259,1.669135E-4,STAR,0
174.61005,19.016603,0.335106,GALAXY,0
174.69783,18.84927,0.071802,GALAXY,0
174.47833,18.903381,-6.032547E-4,STAR,8
174.65057,19.140313,0.167343,GALAXY,0
174.71244,19.601457,0.022694,GALAXY,0
174.43517,19.344058,0.109027,GALAXY,0
174.71446,19.339106,0.111033,GALAXY,0
174.50364,19.377637,0.089501,GALAXY,0
173.75877,18.171733,0.064435,GALAXY,0
